Country,HDI,Population,Area,Gini,Neighbours
Venezuela,0.711,31028700.0,916445.0,44.8,3.0
South Africa,0.709,140.0,7747.0,0.0,0.0
Palestine,0.708,4682467.0,0.0,35.5,3.0
Egypt,0.707,91290000.0,1002450.0,30.8,3.0
Marshall Islands,0.704,54880.0,181.0,0.0,0.0
Vietnam,0.704,92700000.0,331212.0,35.6,3.0
Gabon,0.703,1802278.0,267668.0,41.5,3.0
Kyrgyzstan,0.697,6047800.0,199951.0,36.2,4.0
Morocco,0.686,33337529.0,446550.0,40.9,3.0
Guyana,0.682,746900.0,214969.0,44.5,3.0
Iraq,0.674,37883543.0,438317.0,30.9,6.0
El Salvador,0.673,9498700.0,207600.0,26.5,5.0
Tajikistan,0.668,8593600.0,143100.0,30.8,4.0
Cape Verde,0.665,0.0,0.0,0.0,0.0
Guatemala,0.663,16176133.0,108889.0,55.9,4.0
Nicaragua,0.66,6262703.0,130373.0,40.5,2.0
Bhutan,0.654,775620.0,38394.0,38.1,2.0
Namibia,0.646,2324388.0,825615.0,63.9,4.0
India,0.645,3000.0,60.0,0.0,0.0
Honduras,0.634,8576532.0,112492.0,57.0,3.0
Bangladesh,0.632,161006790.0,147570.0,32.1,2.0
Kiribati,0.63,113400.0,811.0,0.0,0.0
Sao Tome and Principe,0.625,187356.0,964.0,50.8,0.0
Micronesia,0.62,102800.0,702.0,0.0,0.0
Laos,0.613,6492400.0,236800.0,36.7,5.0
Eswatini,0.611,1132657.0,17364.0,51.5,2.0
Ghana,0.611,27670174.0,238533.0,42.8,3.0
Vanuatu,0.609,277500.0,12189.0,0.0,0.0
East Timor,0.606,1167242.0,14874.0,31.9,1.0
Nepal,0.602,28431500.0,147181.0,32.8,2.0
Kenya,0.601,47251000.0,580367.0,47.7,5.0
Cambodia,0.594,15626444.0,181035.0,37.9,3.0
Equatorial Guinea,0.592,1222442.0,28051.0,0.0,2.0
Zambia,0.584,15933883.0,752612.0,54.6,8.0
Myanmar,0.583,51419420.0,676578.0,0.0,5.0
Angola,0.581,25868000.0,1246700.0,58.6,4.0
Republic of the Congo,0.574,4998000.0,622984.0,56.3,6.0
Zimbabwe,0.571,14240168.0,390757.0,0.0,4.0
Solomon Islands,0.567,642000.0,28896.0,0.0,0.0
Syria,0.567,18564000.0,185180.0,35.8,5.0
Cameroon,0.563,22709892.0,475442.0,38.9,6.0
Pakistan,0.557,194125062.0,881912.0,30.0,4.0
Papua New Guinea,0.555,8083700.0,462840.0,50.9,1.0
Comoros,0.554,806153.0,1862.0,64.3,0.0
Mauritania,0.546,3718678.0,1030700.0,40.5,4.0
Benin,0.545,10653654.0,112622.0,38.6,4.0
Uganda,0.544,33860700.0,241550.0,44.3,5.0
Rwanda,0.543,11553188.0,26338.0,50.8,4.0
